Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
147084112022235,La Nouvelle Tribune,La Nouvelle Tribune,13515,39
107627395144123,الحكومة المغربية,الحكومة المغربية,2789,105
272535046654,HESPRESS,HESPRESS,2210,37
578201022242371,MJCC وزارة الشباب والثقافة والتواصل,"Ministère de la Jeunesse, de la Culture et de la Communication",1867,157
117281538350746,حزب التجمع الوطني للأحرار -Rassemblement National des Indépendants -RNI,Rassemblement National des Indépendants,1195,33
100194852696708,"Rabat, Capital of African Culture 2022","Ministère de la Jeunesse, de la Culture et de la Communication",971,79
123393171111656,Mehdi Bensaid   المهدي بنسعيد,Mohammed Mehdi Bensaid,864,51
106101625266252,Fatim-Zahra Ammor - فاطمة الزهراء عمور,Fatim-Zahra Ammor - فاطمة الزهراء عمور,777,11
103180295526797,Ministère de l’Equipement et de l’Eau - وزارة التجهيز والماء,M Equipement Maroc,645,21
1081434028658964,وزارة الانتقال الطاقي والتنمية المستدامة,وزارة الانتقال الطاقي والتنمية المستدامة,488,27
374551516051318,نساء من المغرب,نساء من المغرب,444,9
161637767281862,LE MATIN.ma,Groupe Le Matin,377,27
270219276428374,رئيس الحكومة المغربية,رئيس الحكومة المغربية,320,8
1117512094962616,Ministère de l’Industrie et du Commerce,Ministère de l’Industrie et du Commerce,228,2
167254950013774,Rue20.Com,Ayoub Elkouari,174,47
334353136587648,L'Observateur du Maroc et d'Afrique,Mehdi Farhi,143,7
100132082391393,Houcine Nasrollah الحسين نصر الله,Lhoucine Nasrollah,139,3
206131849408814,Med Radio,Mehdi Farhi,111,10
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
100430945563251,ka.ss.ita,These ads ran without a disclaimer,≤100,2
605527566303955,القناة,al9anat.com,≤100,77
1855945607952800,Chamalpress - شمال بريس,getcom,≤100,57
1117512094962616,Ministère de l’Industrie et du Commerce,MCINET,≤100,2
103385191731884,الأمانة العامة الإقليمية لحزب الأصالة و المعاصرة بالحسيمة,PAM AL HOCEIMA,≤100,3
438771642823963,الإيسيسكو,ICESCO,≤100,3
113909224980171,Gihad Hamza,These ads ran without a disclaimer,≤100,9
172678809953648,24saa.ma,These ads ran without a disclaimer,≤100,1
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,≤100,3
175590267993,Al Majalla,These ads ran without a disclaimer,≤100,5
38949672699,Usfp Maroc الاتحاد الاشتراكي للقوات الشعبية,Union Socialiste des Forces Populaires,≤100,1
139738424160651,Hespress English,HESPRESS,≤100,1
253176574796625,ICESCO in English,ICESCO,≤100,2
2065056783567420,Hespress Français,HESPRESS,≤100,2
257335464375873,ICESCO en français,ICESCO,≤100,2
101970812076593,Madar 21 مدار,Madar 21 مدار,≤100,4
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
106351321162502,Ilmora shop,These ads ran without a disclaimer,≤100,2
154738044667722,achamal24.ma,عثمان جمعون,≤100,15
150915698728343,INFOMarruecos,Youssef Qasmaoui,≤100,2
102570761484258,Asharq Business اقتصاد الشرق,These ads ran without a disclaimer,≤100,3
371953119858910,Abdellah Eid Nizar,Abdellah Eid,≤100,5
106134512364395,MarocDebrief,MarocDebrief,≤100,3
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,8
102405369477763,Yassinenews1,Yassine El Hilali,≤100,3
106875275519862,Morocco AM 2023,These ads ran without a disclaimer,≤100,1
185306835340575,Afrique Du Rire,These ads ran without a disclaimer,≤100,1
100561169109024,afraaalnoaimi,These ads ran without a disclaimer,≤100,1
1500622100171461,Bolivar FM 99.4 MAMOU,These ads ran without a disclaimer,≤100,1
1840617676028308,MC Max 大力,These ads ran without a disclaimer,≤100,1
328835903834763,اشرف مسياح Achraf Msiah,Achraf Mohamed Msiah,≤100,11
103244765420695,Khaddouj Slassi  - خدوج السلاسي,Khaddouj Slassi,≤100,1
272535046654,HESPRESS,These ads ran without a disclaimer,≤100,1
146822482008281,DW عربية,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,6
229475587079008,kifache,Mehdi Farhi,≤100,1
1469752156670918,Youth China,These ads ran without a disclaimer,≤100,1
100476289276662,Moroccan Odyssey,These ads ran without a disclaimer,≤100,2
1174118549367115,Almoharir,Almoharir,≤100,13
108236108917672,breakingatrabat4africa,These ads ran without a disclaimer,≤100,1
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,≤100,4
248547585333443,قناة الغد Alghad TV,These ads ran without a disclaimer,≤100,2
107678681970436,MOZI,These ads ran without a disclaimer,≤100,1
101193692242792,Azelarab Hilmi عزالعرب حلمي,Az-elarab Hilmi Mzali,≤100,2
108326201649974,bin__maaruf,These ads ran without a disclaimer,≤100,1
104572698809103,Bladna 24,BLADNA24,≤100,1
1689864031300048,Isaac Charia,ISAAC CHARIA,≤100,3
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,1
108842875028489,المستشار البرلماني السالك الموساوي,Aimad Eddine Abouhou,≤100,2
121406912590463,Elgareh Abou Salem,Elgareh Abou Salem Abdelmjid,≤100,1
106867861491348,المغرب بوست,المغرب بوست,≤100,1
820262131363591,Arabi21 - عربي21,These ads ran without a disclaimer,≤100,2
107015724857209,أخبار الداخلة - Akhbar Dakhla,Adnane El Kaddi,≤100,1
105831186184273,EMAA,These ads ran without a disclaimer,≤100,1
112416568138364,Al Mashhad المشهد,These ads ran without a disclaimer,≤100,3
193893787449771,Mustapha Swinga,These ads ran without a disclaimer,≤100,2
102213658851936,be.rabat,These ads ran without a disclaimer,≤100,1
101528365705268,الصفحة الرسمية للمستشار الجهوي عبد المولى امكسو,Abdelmoula Amcassou,≤100,4
2038083569579593,Fondation Lafqui Titouani,Hicham Zamane,≤100,2
101560635421291,DiverCite.be,These ads ran without a disclaimer,≤100,1
102281796055155,Almoharir media,Almoharir media,≤100,8
112020951559563,Zizwet,These ads ran without a disclaimer,≤100,1
901571263252684,Morocco Medical EXPO,These ads ran without a disclaimer,≤100,2
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,1
891899684320283,Achkayen,These ads ran without a disclaimer,≤100,1
492367411199418,Troll Politics - طرولات سياسية,Troll Politics - طرولات سياسية,≤100,7
161409674442707,ECOLE Elosig  Pg Of,These ads ran without a disclaimer,≤100,2
102395219536897,MaMontre,MaMontre,≤100,1
102147891846274,Boutique fes,These ads ran without a disclaimer,≤100,1
113368950024235,GuercifZoom,These ads ran without a disclaimer,≤100,1
316764708387478,Jadal 60 جدَل,Jadal60,≤100,1
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,≤100,14
536001309821838,European Link Coalition,These ads ran without a disclaimer,≤100,1
533974930053676,سارة السهيل  صفحة,These ads ran without a disclaimer,≤100,1
101358036245588,App Leap,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
216741958412414,Avon Worldwide,These ads ran without a disclaimer,≤100,1
2581632471869847,Alkhabar 60,Alkhabar 60,≤100,8
641954909599087,Najib Addadi -نجيب الأضادي,These ads ran without a disclaimer,≤100,1
333141140132864,China.org.cn,These ads ran without a disclaimer,≤100,1
112197978388568,Mariah A,These ads ran without a disclaimer,≤100,1
101290736150082,Les Rifains : Les Aigles du Maroc,These ads ran without a disclaimer,≤100,1
103759516011919,Pierrelouispompanon.fr,These ads ran without a disclaimer,≤100,1
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,≤100,2
156850176567,المجلة,These ads ran without a disclaimer,≤100,1
127757937250301,German Information Centre Arab World - المركز الألماني للإعلام,These ads ran without a disclaimer,≤100,2
154680184946903,Superplastic,These ads ran without a disclaimer,≤100,1
109992681750626,sakrani_ismail1,These ads ran without a disclaimer,≤100,1
106073681608083,7jours,7jours,≤100,3
101702245962737,Barlamane News - برلمان نيوز,Barlamane News - برلمان نيوز,≤100,1
