Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
339646519820476,Garden City хотхон,Garden City хотхон,581,10
218413031955878,ЭЛБЭТ ус халаагчтай угаалтуур,ЭЛБЭТ ус халаагчтай угаалтуур,514,4
104158102398577,Радуга хүүхдийн Орос гутлын дэлгүүр,Радуга хүүхдийн Орос гутлын дэлгүүр,491,7
182548242181379,Олон улсын хөдөлмөрийн байгууллага - International Labour Organization,Олон улсын хөдөлмөрийн байгууллага - International Labour Organization,483,11
1486821808275599,Тогмидын Доржханд,Munkhtur Ravjir,389,3
321556547861146,SDY Mongolia,SDY Mongolia,315,4
104297524912070,NEXT 30,NEXT 30,313,2
454746178067182,Purevdorj Bukhchuluun,Purevdorj Bukhchuluun,246,4
383345825359559,Энхтайваны Бат-Амгалан,Tugsbayar Batsaikhan,239,9
171521449877169,Жамбалын Ганбаатар,Ganbaatar Jambal,230,2
227192547292661,Норовын Алтанхуяг,Uuganbayar Lkhagvasuren,200,2
255542418267949,Barometer,Lamjav Zolbaatar,130,5
1632521350369406,САЙН онлайн дэлгүүр,Tsatsral Tumen,123,2
103471868972939,Нийгмийн Ардчилал Залуучуудын Сан - SDYF,Нийгмийн Ардчилал Залуучуудын Сан - SDYF,≤100,1
107810657531092,Budragchaa Serdamba,Budragchaa Serdamba,≤100,1
322639758401172,Амгалангийн Адъяасүрэн,Амгалангийн Адъяасүрэн,≤100,2
2032935363584959,Цэвэгдоржийн Туваан,Цэвэгдоржийн Туваан,≤100,2
101252088988452,Шоовдорын ТӨМӨРСҮХ/Эрх Чөлөөг Хэрэгжүүлэгч  Нам/,Шоовдорын Төмөрсүх,≤100,4
102488728170576,Гантөмөрийн Түвдэндорж Tuvdendorj Gantumur,Tuvdendorj Gantumur,≤100,2
198997600247626,NCD GROUP,NCD Group,≤100,1
357494447651853,Oyunerdene Luvsannamsrai,Naranmunkh Enkhtuya,≤100,1
979761452058198,Batsukh Saranchimeg Батсүхийн Саранчимэг,Batsukh Saranchimeg Батсүхийн Саранчимэг,≤100,1
1799583196998143,Гочоогийн Ганболд,Рэнчинноров Батзаяа,≤100,5
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
100285895550731,Мэдээллийн Ажилтан,Мэдээллийн Ажилтан,≤100,1
458732720870223,Жамъянхорлоогийн СҮХБААТАР,Sukhbaatar Jamiyankhorloo,≤100,1
408216312643036,Tumen Travel,Tsatsral Tumen,≤100,2
106105594308059,Гонгорын Дамдинням,Батбаяр Дамиран,≤100,8
892880140826604,Shugel.mn,These ads ran without a disclaimer,≤100,1
109317924068025,Чойнхорын Эрдэнэдалай,These ads ran without a disclaimer,≤100,1
1645028429160586,Дамбын Батлут,Энхчулуун Чинбат,≤100,7
105042021969191,Эмэгтэйчүүдийн Манлайллын Сүлжээ,Anudari Ayush,≤100,3
503979376453643,Сонгогчдын Боловсрол Төв,Сонгогчдын Боловсрол Төв,≤100,2
2276289452390452,TsTrading,TsTrading,≤100,1
101989984873253,"Фудволк хэвлэл, Pudwolk hewlel",These ads ran without a disclaimer,≤100,1
517283904956981,Vip76,Вип Эксперт Сэтгүүл,≤100,8
1524216227869894,V-Check,V-Check,≤100,2
183830001654372,Бат-Эрдэнийн ЗОЛБОО,Zolboo Bat-Erdene,≤100,1
161964613849556,Монголын гааль,These ads ran without a disclaimer,≤100,2
110731000551737,Murunduu Saikhan Amidartsgaay Мөрөндөө Сайхан Амьдарцгаая,В. Түвшинжаргал,≤100,1
101035645284430,Hilton HOME,Hilton HOME,≤100,1
113191210404758,УИХ-ын гишүүн Ганибалын Амартүвшинг дэмжигчид,Sergelen Ganlkhagva,≤100,1
108721589821589,Ганибалын Амартүвшин,Amartuvshin Hanibal,≤100,2
109336527268715,Улс Төрийн Мэдээ,Улс Төрийн Мэдээ,≤100,1
467271873455910,Хорооллынхон,These ads ran without a disclaimer,≤100,1
110766893779395,Одон орон зурхай судлал Д.Жавхлан,Одон орон зурхай судлал Д.Жавхлан,≤100,1
111784087199429,Boom boom,These ads ran without a disclaimer,≤100,1
1749319171951943,Ёоонк/Yoonk,These ads ran without a disclaimer,≤100,2
306016493075093,Бямбажавын Бямбажаргал,Byambajargal Byambajav,≤100,2
106577044576431,Төрийн албаны ерөнхий шалгалт 2023,These ads ran without a disclaimer,≤100,1
109352650803239,"Улсын эрх ашиг, тусгаар тогтнолын нам FB page",Batjargal Gochoosuren,≤100,2
717368048295616,Доноровын Гантулга - Gantulga Donorov,Munkhtur Ravjir,≤100,1
730785063768196,Тэнгэрийн Ташуур,These ads ran without a disclaimer,≤100,1
115357041529803,оюу толгой клуб,These ads ran without a disclaimer,≤100,3
515784272280851,Taiwan in Mongolia,These ads ran without a disclaimer,≤100,2
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,4
110119455074346,Callisto Cocktail Bar,These ads ran without a disclaimer,≤100,1
378842122166791,PEAK News,These ads ran without a disclaimer,≤100,1
285936635651139,ШИНЭ нам,Munkhjargal Byamba,≤100,1
1753671498266104,Өмгөөлөгч Л.Батжав,These ads ran without a disclaimer,≤100,1
1037037133012671,НУУХ АРГА ҮГҮЙ ҮНЭН,These ads ran without a disclaimer,≤100,1
101040551547622,Khulan Damdinragchaa,These ads ran without a disclaimer,≤100,1
101023309090764,"МУГЖ, дуучин Д.Амаржаргал",These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,6
672213916270779,Өлзий-Оршихын Сумъяабаатар,Delgerekh Khishi,≤100,1
113105291776654,"Хөдөлмөрийн аюулгүй байдал, эрүүл ахуй",These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
109839958599715,Human resource  Mongolia,These ads ran without a disclaimer,≤100,1
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
1709643582674613,Хүртээмжтэй боловсролын төлөө багш нарын нэгдэл,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,40
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,3
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,2
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,2
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,3
107595190900525,"Монгол Саримс, Сонгино",These ads ran without a disclaimer,≤100,1
109062828734912,Юридические услуги,These ads ran without a disclaimer,≤100,1
153371894688575,World Bank,These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,7
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
110766893779395,Одон орон зурхай судлал Д.Жавхлан,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,6
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,1
393412505386,Offshore Technology Conference (OTC),These ads ran without a disclaimer,≤100,1
320948257943554,Бостонский Кругозор,These ads ran without a disclaimer,≤100,1
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,7
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,2
399754700104901,The CEO Magazine,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,6
102300279228311,MadeinChina,These ads ran without a disclaimer,≤100,1
139336407890,"StellarNet, Inc.",These ads ran without a disclaimer,≤100,1
111014438406253,Trendyspread shop1,These ads ran without a disclaimer,≤100,2
106170661628518,香港V,These ads ran without a disclaimer,≤100,1
367649046908008,Growatt New Energy,These ads ran without a disclaimer,≤100,2
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,3
1556259461269806,Shareably,These ads ran without a disclaimer,≤100,1
100133042448587,Sneaker Toast Magazine,These ads ran without a disclaimer,≤100,1
111315691692431,João Pedro,These ads ran without a disclaimer,≤100,2
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100,2
