Page ID,Page name,Disclaimer,Amount spent (BBD),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,4
106192543721,Business Barbados,Business Barbados,≤100,2
106636228870417,"Angela U Carter, Author",These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,4
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,2
106192543721,Business Barbados,These ads ran without a disclaimer,≤100,1
110251704784438,The Ashley Lashley Foundation,These ads ran without a disclaimer,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,7
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
681614015247190,Caribbean National Weekly,These ads ran without a disclaimer,≤100,8
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,20
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,2
100696586305964,Fine Art Photography Prints by Rico X.,These ads ran without a disclaimer,≤100,2
108258998739587,I Did not know,These ads ran without a disclaimer,≤100,7
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,3
108061471650955,SoluTec,These ads ran without a disclaimer,≤100,2
101132541967404,ESG Investing,These ads ran without a disclaimer,≤100,1
102280419394222,Money Me,These ads ran without a disclaimer,≤100,1
114184975000819,Unexplained Beasts,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
106170661628518,香港V,These ads ran without a disclaimer,≤100,1
109767087476800,The Breadfruit Collective,These ads ran without a disclaimer,≤100,1
154680184946903,Superplastic,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,2
110993941170214,ChidoBook,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,3
103119027899256,Caribbean Climate-Smart Accelerator,These ads ran without a disclaimer,≤100,1
10606591490,TIME,These ads ran without a disclaimer,≤100,1
102257292713372,Alejandra Morales,These ads ran without a disclaimer,≤100,2
101988962610490,Spread The Good,These ads ran without a disclaimer,≤100,1
106057958885632,docbotic,These ads ran without a disclaimer,≤100,1
525421700832365,Protectors of The Wood Adventure Series,These ads ran without a disclaimer,≤100,2
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,6
102207552798601,Youth clicks,These ads ran without a disclaimer,≤100,1
256346654515877,Mercury Marine Latin America/Caribbean,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
1556259461269806,Shareably,These ads ran without a disclaimer,≤100,1
153371894688575,World Bank,These ads ran without a disclaimer,≤100,1
116679401363112,Kelce Jam,These ads ran without a disclaimer,≤100,1
429957570419097,Professor Israel,These ads ran without a disclaimer,≤100,1
2418643321715898,Daily Stickers,These ads ran without a disclaimer,≤100,1
103205701024387,jasoncunningham8278,These ads ran without a disclaimer,≤100,1
114053828319874,HL Connection #3,These ads ran without a disclaimer,≤100,1
100486698765192,Money & Investing,These ads ran without a disclaimer,≤100,1
105686442303512,CTGI,These ads ran without a disclaimer,≤100,1
106843828862974,Worlds knoledge,These ads ran without a disclaimer,≤100,2
105986175239619,Sea Creature Love,These ads ran without a disclaimer,≤100,4
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100,1
104444729065513,Victoria Segovia,These ads ran without a disclaimer,≤100,2
108318715562829,Abi Espin,These ads ran without a disclaimer,≤100,3
106130305763469,dialecthica,These ads ran without a disclaimer,≤100,1
104593458269168,Your Daily Fun Break,These ads ran without a disclaimer,≤100,4
478297078923452,Big Easy Believer,These ads ran without a disclaimer,≤100,2
102998939765184,Persian bms,These ads ran without a disclaimer,≤100,1
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,1
425468610983737,Culture Creators,These ads ran without a disclaimer,≤100,1
109755664976719,Ginger's Notebook,These ads ran without a disclaimer,≤100,1
171522852874952,Juventus,These ads ran without a disclaimer,≤100,1
438651852841000,COLEAD.link,These ads ran without a disclaimer,≤100,1
101654211887389,Jerusalem Online - Arts & Culture,These ads ran without a disclaimer,≤100,1
137223326998592,Ashleyjtoddblog,These ads ran without a disclaimer,≤100,1
100689636310150,Waokeem-EU,These ads ran without a disclaimer,≤100,1
101853479470366,Weregreenly,These ads ran without a disclaimer,≤100,3
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,1
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100,1
79511407410,Mercedes-AMG Petronas F1 Team,These ads ran without a disclaimer,≤100,1
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,1
371227786709544,Refund Express LLC,These ads ran without a disclaimer,≤100,1
117777647908592,Casa de Cultura Os Capoeira - SP,These ads ran without a disclaimer,≤100,1
102386151868694,Graduatez - Graduation,These ads ran without a disclaimer,≤100,1
179989282086901,Warriors of the Divine,These ads ran without a disclaimer,≤100,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
100525605800075,Meet and Greet,These ads ran without a disclaimer,≤100,2
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,4
1102199946478493,Spotlight,These ads ran without a disclaimer,≤100,1
100979089555293,Jose Bedoya,These ads ran without a disclaimer,≤100,1
102300279228311,MadeinChina,These ads ran without a disclaimer,≤100,1
253772961315048,Mercury Mosaics,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,2
111254080238119,ZenLyfe,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,2
101922875434564,Road to Vintage - Music,These ads ran without a disclaimer,≤100,1
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,1
141271779363886,Christian Harfouche,These ads ran without a disclaimer,≤100,1
100490729492964,Sebastian Bello,These ads ran without a disclaimer,≤100,3
8539814909,International Animal Rescue,These ads ran without a disclaimer,≤100,1
106824494733100,Simbaly - Lifestyle,These ads ran without a disclaimer,≤100,1
343786409509707,The East Gate,These ads ran without a disclaimer,≤100,2
109618608579864,All beautiful things,These ads ran without a disclaimer,≤100,2
101388509327100,Extra famous,These ads ran without a disclaimer,≤100,2
111132794348779,That Happened,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,1
110099331940978,More Hackz - MediaSmarter,These ads ran without a disclaimer,≤100,1
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,1
105036179534606,"Gildan, Making Apparel Better",These ads ran without a disclaimer,≤100,1
722256984867966,Raytheon Missiles & Defense,These ads ran without a disclaimer,≤100,1
111071828580081,Wsp25,These ads ran without a disclaimer,≤100,1
