Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
2225116774410539,Medias241,Medias241,1130,175
104646751606436,Bulongu.com,Bulongu.com,739,145
105649124874323,Lelibrevillois,Lelibrevillois,685,135
101546198593710,Dailygabon.com,Dailygabon.com,664,132
1965688513755178,ONE GABON,ONE GABON,111,15
103532095442116,Je vote 2023,Je vote 2023,≤100,3
954254228093535,Zachée le Gabonais,Zachée le Gabonais,≤100,1
104735424614055,Afrik Intelligentsia,Afrik Intelligentsia,≤100,2
280600306172053,La Voix du peuple,La Voix du peuple,≤100,2
1485303258369585,Pôle National de Promotion de l’Emploi,These ads ran without a disclaimer,≤100,1
105908949094288,Ovono Mezui Petit-Coly Belange,These ads ran without a disclaimer,≤100,3
142140845039675,Société de Patrimoine,These ads ran without a disclaimer,≤100,3
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,≤100,3
105689492238115,Hubert Ella Minko,Hubert Ella Minko,≤100,1
108376135555739,Actualité Élection 2023,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
103246382711658,Ets FDD,These ads ran without a disclaimer,≤100,2
1500622100171461,Bolivar FM 99.4 MAMOU,These ads ran without a disclaimer,≤100,1
108514811934260,Les Anges Gardiens du Gabon 2.0,These ads ran without a disclaimer,≤100,1
107753052287432,bcncurrencyyy,These ads ran without a disclaimer,≤100,1
105649124874323,Lelibrevillois,These ads ran without a disclaimer,≤100,1
181206425370207,Vivien Patrice Lloyd Amos Makaga Péa,These ads ran without a disclaimer,≤100,1
122516720834512,Le CRAC - Nyanga,These ads ran without a disclaimer,≤100,1
280600306172053,La Voix du peuple,These ads ran without a disclaimer,≤100,1
124844463934963,Le CRAC - Ogooué-Maritime,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,2
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,6
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,3
100172476278127,Easy Study,These ads ran without a disclaimer,≤100,1
109992798294853,Good View Hunting,These ads ran without a disclaimer,≤100,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,2
1469752156670918,Youth China,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,2
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,6
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
125540182400469,The Daily Resource,These ads ran without a disclaimer,≤100,4
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,6
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,2
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,≤100,1
101493902773017,SPIC-Turkey,These ads ran without a disclaimer,≤100,1
113055794976407,𝗘𝗹𝗹𝗲𝗺è𝗻𝗲,These ads ran without a disclaimer,≤100,1
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,1
